sample_name,consensus_cluster,reference_cluster,reference_color,broad_class,subclass,merged_cluster_smFISH,merged_cluster_ISS
LS-15370_S34_E1-50,cl65_i72_Tmem223_Lamp5,Lamp5 Egln3_3,#DD6091,Inh,Lamp5,Lamp5_1,Lamp5 Egln3_b
LS-15370_S35_E1-50,cl138_i41_Has2_Lamp5,Lamp5 Pdlim5,#FF7290,Inh,Lamp5,Lamp5_2,Lamp5 Pdlim5
LS-15370_S37_E1-50,cl23_i132_Myh13_Sst,Sst Myh8_2,#FF9F2C,Inh,Sst,Sst_2,Sst Myh8_a
LS-15370_S40_E1-50,cl26_i124_Ccser1_Vip,Vip Igfbp6,#7779BF,Inh,Vip,Vip_1,Vip Igfbp6
LS-15370_S43_E1-50,cl2_e381_Rgs2_L6_IT,VISp L6 IT Cd52,#A19922,Ex,L6 IT,L6 IT_1,VISp L6 IT Cd52
LS-15370_S45_E1-50,cl61_e77_Mir221_L6_IT,VISp L6 IT Col23a1,#C2E32C,Ex,L6 IT,L6 IT_1,VISp L6 IT Col23a1
LS-15370_S46_E1-50,cl2_e381_Rgs2_L6_IT,VISp L6 IT Cd52,#A19922,Ex,L6 IT,L6 IT_1,VISp L6 IT Cd52
LS-15370_S47_E1-50,cl8_e168_Adam8_L6_IT,VISp L6 IT Col23a1,#C2E32C,Ex,L6 IT,L6 IT_1,VISp L6 IT Col23a1
LS-15370_S48_E1-50,cl2_e381_Rgs2_L6_IT,VISp L6 IT Cd52,#A19922,Ex,L6 IT,L6 IT_1,VISp L6 IT Cd52
LS-15370_S57_E1-50,cl81_e63_Msl2_L6_IT,VISp L6 IT Cd52,#A19922,Ex,L6 IT,L6 IT_1,VISp L6 IT Cd52
LS-15370_S59_E1-50,cl17_e147_Gng12_L6_CT,VISp L6 CT Ctxn3,#69A8E6,Ex,L6 PT,L6 PT,VISp L6 CT Dlx4
LS-15370_S60_E1-50,cl126_e44_Traf5_L6_CT,VISp L6 CT Dlx4,#74CAFF,Ex,L6 PT,L6 PT,VISp L6 CT Dlx4
LS-15370_S64_E1-50,cl27_e121_Gadd45a_L6_CT,VISp L6 CT Dlx4,#74CAFF,Ex,L6 PT,L6 PT,VISp L6 CT Dlx4
LS-15370_S65_E1-50,cl48_e91_Csgalnact1_L6_IT,VISp L6 IT Cd52,#A19922,Ex,L6 IT,L6 IT_1,VISp L6 IT Cd52
LS-15370_S67_E1-50,cl126_e44_Traf5_L6_CT,VISp L6 CT Dlx4,#74CAFF,Ex,L6 PT,L6 PT,VISp L6 CT Dlx4
LS-15370_S71_E1-50,cl2_e381_Rgs2_L6_IT,VISp L6 IT Cd52,#A19922,Ex,L6 IT,L6 IT_1,VISp L6 IT Cd52
LS-15370_S74_E1-50,cl217_e22_Dnah14_L6_IT,VISp L6 IT Marcksl1,#96E32C,Ex,L6 IT,L6 IT_1,VISp L6 IT Marcksl1
LS-15370_S75_E1-50,cl81_e63_Msl2_L6_IT,VISp L6 IT Cd52,#A19922,Ex,L6 IT,L6 IT_1,VISp L6 IT Cd52
LS-15370_S76_E1-50,cl187_e26_Teddm2_L6_CT,VISp L6 CT Ctxn3,#69A8E6,Ex,L6 PT,L6 PT,VISp L6 CT Dlx4
LS-15370_S77_E1-50,cl81_e63_Msl2_L6_IT,VISp L6 IT Cd52,#A19922,Ex,L6 IT,L6 IT_1,VISp L6 IT Cd52
LS-15370_S78_E1-50,cl143_e38_Tmem136_L6_IT,VISp L6 IT Col23a1,#C2E32C,Ex,L6 IT,L6 IT_1,VISp L6 IT Col23a1
LS-15370_S80_E1-50,cl17_e147_Gng12_L6_CT,VISp L6 CT Ctxn3,#69A8E6,Ex,L6 PT,L6 PT,VISp L6 CT Dlx4
LS-15370_S87_E1-50,cl27_e121_Gadd45a_L6_CT,VISp L6 CT Dlx4,#74CAFF,Ex,L6 PT,L6 PT,VISp L6 CT Dlx4
LS-15370_S88_E1-50,cl17_e147_Gng12_L6_CT,VISp L6 CT Ctxn3,#69A8E6,Ex,L6 PT,L6 PT,VISp L6 CT Dlx4
LS-15370_S89_E1-50,cl2_e381_Rgs2_L6_IT,VISp L6 IT Cd52,#A19922,Ex,L6 IT,L6 IT_1,VISp L6 IT Cd52
LS-15370_S90_E1-50,cl2_e381_Rgs2_L6_IT,VISp L6 IT Cd52,#A19922,Ex,L6 IT,L6 IT_1,VISp L6 IT Cd52
LS-15370_S91_E1-50,cl61_e77_Mir221_L6_IT,VISp L6 IT Col23a1,#C2E32C,Ex,L6 IT,L6 IT_1,VISp L6 IT Col23a1
