sample_name,x,y,rmax,subclass,broad_class,x_um,y_um,layer
3339,10891.7513098013,16415.1659217361,0.0893291851656184,L2/3 IT,Ex,2328.1307911965805,6317.554886363152,L2/3
3342,13254.460778426599,13071.8645612244,0.0661907116204299,L4,Ex,2582.8308719143874,5957.14699969999,L2/3
3343,8603.116803491841,8987.289744834741,0.20628713873502802,L6 PT,Ex,2081.4159914164206,5516.829834493185,L6a_polygon_uncut
3345,15908.0762514419,9136.88962281149,0.18049830138887,L4,Ex,2868.8906199054372,5532.956701339079,L2/3
3347,15632.5555876999,8969.40003997135,0.113814519605587,L2/3 IT,Ex,2839.1894923540494,5514.901324308911,L2/3
3349,11174.8657527803,10070.6270160411,0.068926237891755,Pvalb,Inh,2358.6505281497166,5633.61359232923,L5_polygon_uncut
3355,9495.95993203078,8387.2005877834,0.172096632284517,Vip,Inh,2177.664480672918,5452.140223363051,L6a_polygon_uncut
3356,10345.3165769265,4761.67087751979,0.35424298053561204,L6b,Ex,2269.2251269926765,5061.308120596634,L6b_polygon_uncut
3357,14162.7042546633,6106.20100310162,0.0444973017951367,Pvalb,Inh,2680.7395186527037,5206.248468134355,L5_polygon_uncut
3364,16700.085297840902,10171.500383866,0.0814775490447738,L2/3 IT,Ex,2954.2691951072493,5644.487741380755,L2/3
3365,9863.6010246253,7530.16591470183,0.0892456666181398,Pvalb,Inh,2217.2961904546073,5359.751885604857,L6a_polygon_uncut
3369,6738.2629221936595,13447.213485820901,0.22532182835222603,L6 IT,Ex,1880.3847430124765,5997.609613771493,L6a_polygon_uncut
3371,10336.6792107051,12503.179013173101,0.277394093153125,L5 IT,Ex,2268.29401891401,5895.842697620061,L5_polygon_uncut
3372,12212.084397878898,14969.685060964499,0.0530037049992979,L2/3 IT,Ex,2470.4626980913454,6161.732049571973,L2/3
3375,11265.1806322277,15271.110496064399,0.112075590223739,L2/3 IT,Ex,2368.3864721541463,6194.225711475742,L4_polygon_uncut
3376,12235.52009581,9793.980323945028,0.0526557346502198,L5 PT,Ex,2472.989066328318,5603.791078921275,L5_polygon_uncut
3377,16600.6018346572,11072.319239893799,0.0607970810545214,L2/3 IT,Ex,2943.544877776046,5741.596014060551,L2/3
3378,7275.816116734459,10450.7506013855,0.0985996577636423,L6 IT,Ex,1938.3329773839746,5674.590914829357,L6b_polygon_uncut
3381,9978.574475521591,5894.32605402606,0.054026147771719005,L6 PT,Ex,2229.6903284612276,5183.408348624009,L6b_polygon_uncut
3385,16399.5188766004,8967.7317690568,0.0807738458971238,L2/3 IT,Ex,2921.8681348975233,5514.721484704323,L2/3
3386,13302.4500978747,12624.9080886479,0.0771295051707412,L4,Ex,2588.004120550893,5908.965091956244,L4_polygon_uncut
3390,8680.4588505952,7530.2236273668295,0.0715579444975952,L6b,Ex,2089.7534640941626,5359.758107030144,L6b_polygon_uncut
3392,8868.03206180648,9638.75151638061,0.0680630611847304,Lamp5,Inh,2109.9738562627385,5587.05741346583,L6a_polygon_uncut
3400,12031.1326017676,9753.76029471735,0.146280355960958,L5 PT,Ex,2450.956094470547,5599.455359770531,L5_polygon_uncut
3401,6805.328979372421,12442.522213607199,0.0615120834761944,L6 IT,Ex,1887.614463976347,5889.303894626856,L6a_polygon_uncut
3404,6834.33859796817,11749.0153454722,0.051228133106308,L6 PT,Ex,1890.7417008609686,5814.543854241903,L6a_polygon_uncut
3406,11264.3770610816,12267.1554741006,0.0461651357971099,L5 IT,Ex,2368.2998471845967,5870.399360108045,L5_polygon_uncut
3408,15933.157313784199,9887.251391085741,0.15762353835315399,Vip,Inh,2871.5943584259367,5613.8456999590435,L2/3
3415,7283.695088633921,11253.047460997099,0.0991771526472433,L6 PT,Ex,1939.1823305547368,5761.078516295487,L6a_polygon_uncut
3417,11465.4812000947,14919.9117234037,0.0747289279229674,L5 IT,Ex,2389.978873370209,6156.366483782919,VISp
3419,8960.97409436471,8782.26161921708,0.0968940826851747,L6 PT,Ex,2119.993007372516,5494.727802551602,L6a_polygon_uncut
3426,9394.759656517059,11075.9741388551,0.0684686938781081,L4,Ex,2166.755090972539,5741.99001216858,L5_polygon_uncut
3430,7977.162735492099,13067.6376847489,0.11637345930405099,Oligo,Glia,2013.9381428860484,5956.691342415931,L5_polygon_uncut
3431,10709.6188579782,4540.75286555766,0.40931719146236206,Oligo,Glia,2308.49691289005,5037.493158907116,L6b_polygon_uncut
3434,10799.346516572099,5795.41670408639,0.0746621233990908,L6 PT,Ex,2318.1695544864724,5172.745920700513,L6a_polygon_uncut
3436,15141.739026318799,11061.5725140561,0.0771065933560602,L2/3 IT,Ex,2786.279467037167,5740.437517015248,L2/3
3445,5908.812855882479,12925.8673736691,0.08640377938556901,L6 PT,Ex,1790.9700258641315,5941.408502881529,L6a_polygon_uncut
3446,14878.7834746176,6432.49204471688,0.0669477049309255,Pvalb,Inh,2757.9328585637772,5241.42264242048,L4_polygon_uncut
3450,12065.4020688531,6725.08287323188,0.322500777225889,Pvalb,Inh,2454.6503430223643,5272.963933734397,L5_polygon_uncut
3453,14078.4971606694,7223.446315314471,0.12208478490346301,L5 PT,Ex,2671.6619939201614,5326.6875127909,L5_polygon_uncut
3455,11161.603176056698,7653.3023872818,0.0622681392906209,L6 IT,Ex,2357.220822378912,5373.025997348978,L5_polygon_uncut
3456,15330.0264796155,8885.25002602126,0.0638890341397632,L4,Ex,2806.576854502551,5505.829952805092,L4_polygon_uncut
3461,11845.7401621176,6790.27840449945,0.0859546038738293,L6 IT,Ex,2430.9707894762773,5279.992012005041,L5_polygon_uncut
3463,12474.798083220701,9173.256195210459,0.18691172529218103,L5 PT,Ex,2498.7832333711917,5536.877017843688,L5_polygon_uncut
3464,15479.5611912131,11468.477001023999,0.0643289825721987,L2/3 IT,Ex,2822.6966964127723,5784.301820710387,L2/3
3466,9978.16942142481,13156.858801323899,0.116113702720565,L5 IT,Ex,2229.6466636295945,5966.3093787827165,L5_polygon_uncut
3467,8014.69930332717,13512.945763638201,0.0502617598412186,L6 IT,Ex,2017.984584898669,6004.695553320198,L5_polygon_uncut
